id,日時,予測値_PV,PV発電量,買電量,予測値_demand,battery状態,SOC,充電可能量,放電可能量,残電力量,SOC_増減,充電量可能量_増減,放電可能量_増減,残電力量_増減,充放電指示量,EQ動作状態,沸き上げ自動設定,沸き上げ中状態,ｴﾈﾙｷﾞｰｼﾌﾄ参加状態,沸き上げ開始基準時刻,ｴﾈﾙｷﾞｰｼﾌﾄ参回数,昼間沸き上げｼﾌﾄ時刻1,EQ指示時刻,ｴｱｺﾝ状態,ｴｱｺﾝmode,ｴｱｺﾝ設定温度,気温,湿度,温度計_残電池
1,2021-12-05 00:30:00,,0.0,0.9922,,Charging,77,1.242,3.445,3.828,,,,,,ON,Automatic water heating function used,Not heating,,,,,,,,,,,
5,2021-12-05 01:00:00,,0.0,1.0042,,Charging,87,0.702,3.893,4.326,,,,,,ON,Automatic water heating function used,Not heating,,,,,,,,,,,
6,2021-12-05 01:30:00,,0.0,1.00695,,Charging,97,0.162,4.34,4.823,,,,,,ON,Automatic water heating function used,Not heating,,,,,,,,,,,
7,2021-12-05 02:00:00,,0.0,0.51205,,Standby,99,0.0,4.43,4.922,,,,,,ON,Automatic water heating function used,Not heating,,,,,,,,,,,
8,2021-12-05 02:30:00,,0.0,0.3901,,Standby,99,0.0,4.43,4.922,,,,,,ON,Automatic water heating function used,Not heating,,,,,,,,,,,
9,2021-12-05 03:00:00,,0.0,0.46275,,Standby,99,0.0,4.43,4.922,,,,,,ON,Automatic water heating function used,Not heating,,,,,,,,,,,
10,2021-12-05 03:30:00,,0.0,0.38545,,Standby,99,0.0,4.43,4.922,,,,,,ON,Automatic water heating function used,Not heating,,,,,,,,,,,
11,2021-12-05 04:00:00,,0.0,0.49945,,Standby,99,0.0,4.43,4.922,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,
12,2021-12-05 04:30:00,,0.0,0.94915,,Standby,99,0.0,4.43,4.922,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,
13,2021-12-05 05:00:00,,0.0,0.94555,,Standby,99,0.0,4.43,4.922,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,
14,2021-12-05 05:30:00,,0.0,0.9636,,Standby,99,0.0,4.43,4.922,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,
15,2021-12-05 06:00:00,,0.0,0.95825,,Standby,99,0.0,4.43,4.922,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,
16,2021-12-05 06:30:00,,0.0,0.96565,,Standby,99,0.0,4.43,4.922,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,
17,2021-12-05 07:00:00,,0.0,0.4257,,Standby,99,0.0,4.43,4.922,,,,,,ON,Automatic water heating function used,Not heating,,,,,,,,,,,
18,2021-12-05 07:30:00,,0.0205,0.7355,,Standby,99,0.0,4.43,4.922,,,,,,ON,Automatic water heating function used,Not heating,,,,,,,,,,,
19,2021-12-05 08:00:00,,0.0814,0.6888,,Standby,99,0.0,4.43,4.922,,,,,,ON,Automatic water heating function used,Not heating,,,,,,,,,,,
20,2021-12-05 08:30:00,,0.2323,0.63905,,Standby,99,0.0,4.43,4.922,,,,,,ON,Automatic water heating function used,Not heating,,,,,,,,,,,
21,2021-12-05 09:00:00,,0.42075,0.51995,,Standby,98,0.108,4.385,4.873,,,,,,ON,Automatic water heating function used,Not heating,,,,,,,,,,,
22,2021-12-05 09:30:00,,0.48575,-0.08135,,Standby,97,0.162,4.34,4.823,,,,,,ON,Automatic water heating function used,Not heating,,,,,,,,,,,
23,2021-12-05 10:00:00,,1.42155,-1.05385,,Standby,97,0.162,4.34,4.823,,,,,,ON,Automatic water heating function used,Not heating,,,,,,,,,,,
24,2021-12-05 10:30:00,,1.5336,-1.0982,,Standby,97,0.162,4.34,4.823,,,,,,ON,Automatic water heating function used,Not heating,,,,,,,,,,,
25,2021-12-05 11:00:00,,1.62835,-1.3316,,Standby,96,0.216,4.296,4.773,,,,,,ON,Automatic water heating function used,Not heating,,,,,,,,,,,
26,2021-12-05 11:30:00,,1.68715,-1.29655,,Standby,96,0.216,4.296,4.773,,,,,,ON,Automatic water heating function used,Not heating,,,,,,,,,,,
27,2021-12-05 12:00:00,,1.7445,-0.87275,,Standby,96,0.216,4.296,4.773,,,,,,ON,Automatic water heating function used,Not heating,,,,,,,,,,,
28,2021-12-05 12:30:00,,1.07245,-0.48285,,Discharging,94,0.324,4.206,4.674,,,,,,ON,Automatic water heating function used,Not heating,,,,,,,,,,,
29,2021-12-05 13:00:00,,0.7561,-0.23145,,Standby,92,0.432,4.117,4.574,,,,,,ON,Automatic water heating function used,Not heating,,,,,,,,,,,
